familia_o_par,archivo_1,archivo_2,pilar,similitud_jaccard,estado_umbral,observacion
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-005,JEV-P07-004,JEV-P07-005,P07,0.1609,APROBADO (<0.50),Shingles compartidos: 532 de 3306 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-006,JEV-P07-004,JEV-P07-006,P07,0.1548,APROBADO (<0.50),Shingles compartidos: 530 de 3424 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-007,JEV-P07-004,JEV-P07-007,P07,0.1593,APROBADO (<0.50),Shingles compartidos: 533 de 3346 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-008,JEV-P07-004,JEV-P07-008,P07,0.1573,APROBADO (<0.50),Shingles compartidos: 536 de 3407 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-009,JEV-P07-004,JEV-P07-009,P07,0.1648,APROBADO (<0.50),Shingles compartidos: 540 de 3276 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-010,JEV-P07-004,JEV-P07-010,P07,0.1580,APROBADO (<0.50),Shingles compartidos: 532 de 3367 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-011,JEV-P07-004,JEV-P07-011,P07,0.1601,APROBADO (<0.50),Shingles compartidos: 534 de 3336 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-012,JEV-P07-004,JEV-P07-012,P07,0.1629,APROBADO (<0.50),Shingles compartidos: 539 de 3309 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-013,JEV-P07-004,JEV-P07-013,P07,0.1644,APROBADO (<0.50),Shingles compartidos: 529 de 3217 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-014,JEV-P07-004,JEV-P07-014,P07,0.1580,APROBADO (<0.50),Shingles compartidos: 531 de 3361 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-015,JEV-P07-004,JEV-P07-015,P07,0.1615,APROBADO (<0.50),Shingles compartidos: 539 de 3338 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-016,JEV-P07-004,JEV-P07-016,P07,0.1597,APROBADO (<0.50),Shingles compartidos: 531 de 3325 totales en ventana 5-gram.
